epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,897.995,1.16193,1.76413,1.41105,0.6513,0.61752,0.64471,0.39658,1.31287,1.26824,1.52782,0.00333194,0.00333194,0.00333194
2,1765.22,1.22725,1.48503,1.45971,0.64747,0.54934,0.58879,0.34958,1.39502,1.56803,1.65116,0.0065333,0.0065333,0.0065333
3,2630.21,1.35133,1.73822,1.56374,0.55017,0.52123,0.53661,0.30897,1.50844,1.67962,1.73919,0.00960266,0.00960266,0.00960266
4,3499.82,1.37545,1.7988,1.58951,0.68293,0.56247,0.62577,0.3823,1.37265,1.45209,1.6131,0.009406,0.009406,0.009406
5,4376.34,1.30499,1.63287,1.53416,0.69902,0.61548,0.66865,0.41862,1.33736,1.32538,1.57313,0.009208,0.009208,0.009208
6,5252.89,1.24917,1.50892,1.49141,0.70955,0.66948,0.7148,0.45579,1.26448,1.2185,1.51483,0.00901,0.00901,0.00901
7,6132.9,1.22334,1.44929,1.46624,0.7281,0.68243,0.72786,0.46738,1.25259,1.17263,1.49348,0.008812,0.008812,0.008812
8,7012.36,1.19777,1.38795,1.44784,0.74963,0.67719,0.73674,0.4871,1.21915,1.12849,1.45965,0.008614,0.008614,0.008614
9,7893.26,1.16745,1.34089,1.42887,0.76344,0.69028,0.74958,0.49966,1.18767,1.07061,1.43525,0.008416,0.008416,0.008416
10,8775.39,1.15546,1.30216,1.41293,0.78082,0.7028,0.77277,0.51888,1.17268,1.05085,1.41983,0.008218,0.008218,0.008218
11,9652.76,1.13071,1.25975,1.39543,0.7633,0.7198,0.77461,0.5204,1.16358,1.02062,1.40522,0.00802,0.00802,0.00802
12,10533.3,1.12253,1.23958,1.3893,0.7671,0.73103,0.78022,0.52947,1.14436,1.00104,1.39723,0.007822,0.007822,0.007822
13,11417.9,1.10757,1.20326,1.37717,0.77926,0.73807,0.78682,0.53728,1.13211,0.98037,1.38288,0.007624,0.007624,0.007624
14,12308.7,1.09441,1.17109,1.36472,0.79096,0.73738,0.7908,0.542,1.12441,0.96755,1.37327,0.007426,0.007426,0.007426
15,13198.7,1.08168,1.15135,1.35797,0.79514,0.73681,0.79012,0.54659,1.11955,0.95086,1.37553,0.007228,0.007228,0.007228
16,14091.2,1.07655,1.13932,1.35116,0.80504,0.74224,0.80093,0.55422,1.10886,0.94583,1.3595,0.00703,0.00703,0.00703
17,14982.2,1.0662,1.11936,1.34274,0.80092,0.74194,0.79761,0.5532,1.1036,0.93998,1.35185,0.006832,0.006832,0.006832
18,15821,1.05222,1.09472,1.33112,0.81089,0.74491,0.8023,0.55761,1.10908,0.92978,1.353,0.006634,0.006634,0.006634
19,16650,1.04299,1.07546,1.32461,0.81662,0.74262,0.80789,0.56378,1.10183,0.91999,1.35104,0.006436,0.006436,0.006436
20,17485.7,1.03319,1.05443,1.31554,0.81565,0.74351,0.80923,0.56579,1.1003,0.91809,1.34944,0.006238,0.006238,0.006238
21,18318.3,1.02649,1.0444,1.3109,0.80164,0.75809,0.81135,0.56934,1.09097,0.90717,1.3394,0.00604,0.00604,0.00604
22,19155.2,1.02257,1.02431,1.30735,0.8056,0.75558,0.81321,0.57045,1.08713,0.89796,1.33631,0.005842,0.005842,0.005842
23,19986.6,1.01107,1.00578,1.29609,0.81266,0.75343,0.81451,0.57215,1.08545,0.89291,1.33537,0.005644,0.005644,0.005644
24,20812.9,0.99947,0.98797,1.29064,0.82237,0.74857,0.81547,0.57247,1.08505,0.89384,1.33379,0.005446,0.005446,0.005446
25,21630.4,0.99313,0.97378,1.28468,0.81558,0.75165,0.8156,0.57357,1.08447,0.89435,1.33178,0.005248,0.005248,0.005248
26,22481.5,0.9817,0.95744,1.27423,0.8187,0.7519,0.81734,0.57498,1.08256,0.89527,1.33073,0.00505,0.00505,0.00505
27,23327.2,0.97499,0.94089,1.27202,0.81755,0.75419,0.81704,0.57516,1.08256,0.89293,1.33154,0.004852,0.004852,0.004852
28,24151.9,0.96573,0.93113,1.26337,0.81606,0.75599,0.81901,0.57591,1.08196,0.88815,1.33168,0.004654,0.004654,0.004654
29,24977,0.95894,0.91573,1.25982,0.80482,0.76903,0.81757,0.57678,1.0808,0.8874,1.3306,0.004456,0.004456,0.004456
30,25815.3,0.94861,0.89811,1.24985,0.80716,0.76888,0.81872,0.57644,1.08029,0.88605,1.33055,0.004258,0.004258,0.004258
31,26661.6,0.93723,0.88372,1.24305,0.80673,0.77136,0.81678,0.57643,1.08132,0.88471,1.33105,0.00406,0.00406,0.00406
32,27502.2,0.92751,0.86827,1.23585,0.80918,0.7679,0.81698,0.57749,1.08039,0.88233,1.33051,0.003862,0.003862,0.003862
33,28361.7,0.92391,0.85645,1.2325,0.81006,0.76414,0.81716,0.57849,1.08007,0.88132,1.33071,0.003664,0.003664,0.003664
34,29202.4,0.9138,0.83676,1.22538,0.80923,0.76196,0.81782,0.57979,1.07919,0.88017,1.33027,0.003466,0.003466,0.003466
35,30040.5,0.90155,0.82579,1.21637,0.8177,0.7591,0.81785,0.57993,1.07919,0.87953,1.33044,0.003268,0.003268,0.003268
36,30880,0.89204,0.80728,1.21107,0.8181,0.76067,0.81789,0.57981,1.07894,0.87832,1.33026,0.00307,0.00307,0.00307
37,31717.6,0.88558,0.79067,1.20272,0.8224,0.76167,0.82041,0.58075,1.07843,0.87738,1.32986,0.002872,0.002872,0.002872
38,32548.1,0.87438,0.77563,1.19345,0.82526,0.76175,0.81999,0.58068,1.07894,0.87664,1.32995,0.002674,0.002674,0.002674
39,33383.4,0.86589,0.7639,1.1894,0.82416,0.7629,0.81984,0.5811,1.07875,0.87602,1.32947,0.002476,0.002476,0.002476
40,34221.5,0.85538,0.74734,1.18453,0.81683,0.76348,0.81751,0.58147,1.0784,0.87513,1.32959,0.002278,0.002278,0.002278
41,35011.1,0.80477,0.5832,1.15757,0.81706,0.76355,0.81795,0.58119,1.07848,0.87452,1.32971,0.00208,0.00208,0.00208
42,35799,0.78332,0.55208,1.14058,0.81416,0.76496,0.81826,0.58061,1.07833,0.87327,1.33072,0.001882,0.001882,0.001882
43,36587,0.75942,0.52809,1.12365,0.81623,0.76111,0.81724,0.58077,1.07954,0.87293,1.33272,0.001684,0.001684,0.001684
44,37375.1,0.74684,0.50911,1.11351,0.81693,0.76097,0.81756,0.58024,1.08055,0.87272,1.33441,0.001486,0.001486,0.001486
45,38165.1,0.72957,0.48919,1.10106,0.81626,0.7591,0.81823,0.58058,1.08207,0.87357,1.33648,0.001288,0.001288,0.001288
46,38954.6,0.71108,0.46864,1.08973,0.81752,0.75854,0.81858,0.58113,1.08365,0.87441,1.33882,0.00109,0.00109,0.00109
47,39745.1,0.69859,0.45352,1.0792,0.81474,0.7611,0.81877,0.58128,1.0848,0.87469,1.34064,0.000892,0.000892,0.000892
48,40536.5,0.68339,0.43801,1.06833,0.81177,0.76054,0.81772,0.58174,1.08769,0.87613,1.34429,0.000694,0.000694,0.000694
49,41328.7,0.66731,0.42214,1.05873,0.80702,0.76659,0.81777,0.58191,1.09078,0.87717,1.34852,0.000496,0.000496,0.000496
50,42119.9,0.65793,0.41405,1.05133,0.81894,0.75654,0.81682,0.58144,1.09279,0.87869,1.35238,0.000298,0.000298,0.000298
